72,1,8,18,174,494,199,268,0,0,117,0,6,95,136,0,3,51,146,0,27,3,70
147,11,88,28,315,1123,142,622,0,0,182,0,4,70,138,0,8,104,170,0,71,1,44
65,3,20,17,198,640,154,437,0,0,73,0,5,96,152,0,3,74,143,0,32,1,48
40,2,0,19,63,381,84,27,0,0,170,0,2,17,28,0,2,14,13,0,1,2,56
106,1,11,10,139,1237,67,339,0,0,300,0,0,13,45,0,3,42,21,0,8,0,28
29,0,0,23,53,114,93,28,0,0,70,0,0,5,10,0,0,2,1,0,0,23,93
0,0,0,4,0,0,36,0,0,0,70,0,0,3,11,0,0,1,3,0,0,4,36
0,0,0,0,0,0,29,0,0,0,84,0,4,7,19,0,1,2,2,0,0,0,29
79,11,9,26,172,804,200,206,0,0,174,0,9,85,76,0,4,47,62,0,16,6,133
74,0,1,23,98,444,83,96,0,0,64,0,4,20,22,0,0,2,10,0,2,9,66
75,14,9,23,235,1218,146,315,0,0,91,0,1,22,59,0,2,43,109,0,12,5,105
18,0,3,5,30,281,46,179,0,0,29,0,2,19,11,0,3,35,61,0,0,3,28
44,0,1,27,110,290,131,93,0,0,124,0,21,88,54,0,7,21,33,0,2,11,103
13,0,0,9,15,233,59,69,0,0,31,0,5,22,16,0,6,52,60,0,1,3,30
64,0,1,64,88,177,215,83,0,0,112,0,10,20,11,0,1,3,14,0,0,64,215
124,19,11,43,230,1090,245,272,0,0,224,0,6,67,80,0,6,64,79,0,25,9,155
13,0,0,18,9,152,97,52,0,0,72,0,1,12,9,0,1,11,8,0,0,18,96
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,18,0,0,0,120,0,6,11,20,0,1,3,4,0,0,0,18
27,5,3,10,21,694,73,140,0,0,59,0,3,11,16,0,4,35,43,0,2,3,40
9,0,0,4,0,242,25,0,0,0,45,0,2,1,0,0,0,0,0,0,0,0,5
0,0,0,4,0,0,21,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,21
47,7,36,8,222,1276,80,533,0,0,0,0,0,0,0,0,7,146,378,0,34,0,0
7,0,0,3,0,199,37,0,0,0,34,0,1,2,14,0,0,5,16,0,0,1,15
0,0,0,2,0,0,37,0,0,0,58,0,1,2,1,0,0,2,3,0,0,2,37
51,0,23,12,230,1096,107,475,0,0,26,0,1,8,39,0,5,100,276,0,21,1,39
85,2,46,4,161,1125,58,977,0,0,0,0,0,0,0,0,9,215,509,0,55,0,0
0,0,0,8,0,0,63,0,0,0,51,0,0,10,13,0,0,5,6,0,0,8,63
0,0,0,8,0,0,63,0,0,0,51,0,0,10,13,0,0,5,6,0,0,8,63
11,4,6,3,23,495,65,164,0,0,0,0,0,0,0,0,2,101,180,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,339,0,0,0,0
93,2,0,43,0,841,232,0,0,0,112,0,0,5,23,0,0,5,8,0,0,22,155
151,12,6,23,115,1877,174,411,0,0,129,0,0,1,25,0,1,5,10,0,16,6,65
115,0,18,9,169,1859,100,589,0,0,39,0,0,4,17,0,0,10,113,0,25,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,0,0,87,0,0,0,82,0,0,15,16,0,0,5,4,0,0,15,87
118,1,5,22,87,1121,162,218,0,0,206,0,0,9,36,0,0,2,9,0,3,15,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,2,18,37,946,152,138,0,0,198,0,0,6,24,0,0,8,11,0,3,5,66
0,0,0,0,0,0,2,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0,2
87,0,2,18,37,946,152,138,0,0,198,0,0,6,24,0,0,8,11,0,3,5,66
23,18,25,7,59,1092,37,411,0,0,0,0,0,0,0,0,6,82,110,0,12,0,0
10,2,0,5,12,291,70,119,0,0,80,0,0,2,6,0,2,81,150,0,1,1,46
68,13,21,18,180,781,162,368,0,0,72,0,4,75,68,0,3,72,148,0,32,1,44
97,12,32,8,168,1240,108,784,0,0,165,0,2,43,34,0,5,114,227,0,32,3,82
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6,35,0,0,0,0
0,0,0,6,0,0,59,0,0,0,65,0,0,17,22,0,1,51,86,0,0,6,59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,196,0,0,0,0
9,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,17,0,0,0,0
3,0,3,2,21,7,5,5,0,0,0,0,0,0,0,0,2,6,0,0,3,0,0
0,0,0,1,8,8,2,6,0,0,0,0,0,0,0,0,3,37,23,0,0,0,0
